name,team,position,draft_rank,jersey_number
Garrett Nussmeier,lsu,QB,1,18
LaNorris Sellers,south carolina,QB,2,16
Rueben Bain,miami (fl),EDGE,3,4
Fernando Mendoza,indiana,QB,4,15
Caleb Downs,ohio state,S,5,2
Peter Woods,clemson,DL,6,11
Spencer Fano,utah,OT,7,55
Francis Mauigoa,miami (fl),OT,8,61
Keldric Faulk,auburn,EDGE,9,
Jordyn Tyson,arizona state,WR,10,
T.J. Parker,clemson,EDGE,11,3
Kadyn Proctor,alabama,OT,12,74
Jermod McCoy,tennessee,CB,13,3
Dante Moore,oregon,QB,14,
Jeremiyah Love,notre dame,RB,15,4
Mansoor Delane,lsu,CB,16,4
Cade Klubnik,clemson,QB,17,2
Caleb Lomu,utah,OT,18,71
Drew Allar,penn state,QB,19,
Kenyon Sadiq,oregon,TE,20,
Anthony Hill Jr.,texas,LB,21,0
John Mateer,oklahoma,QB,22,10
Avieon Terrell,clemson,CB,23,8
Carnell Tate,ohio state,WR,24,17
Caleb Banks,florida,DL,25,88
Matayo Uiagalelei,oregon,EDGE,26,
Isaiah World,oregon,OT,27,
Makai Lemon,usc,WR,28,6
Sonny Styles,ohio state,LB,29,0
Denzel Boston,washington,WR,30,12
Dani Dennis-Sutton,penn state,EDGE,31,
David Bailey,texas tech,EDGE,32,
C.J. Allen,georgia,LB,33,3
L.T. Overton,alabama,EDGE,34,22
Christen Miller,georgia,DL,35,52
A.J. Harris,penn state,CB,36,
Arvell Reese,ohio state,LB,37,8
Antonio Williams,clemson,WR,38,0
Connor Lew,auburn,IOL,39,
Colton Hood,tennessee,CB,40,8
Dillon Thieneman,oregon,S,41,
Trevor Goosby,texas,OT,42,74
Gennings Dunker,iowa,OT,43,
Kolt Dieterich,sam houston state,OT,44,
Nick Singleton,penn state,RB,45,
Quincy Rhodes Jr.,arkansas,EDGE,46,
Cashius Howell,texas a&m,EDGE,47,9
Suntarine Perkins,mississippi,LB,48,
Nyck Harbor,south carolina,WR,49,8
Ja'Kobi Lane,usc,WR,50,8
Xavier Chaplin,auburn,OT,51,
Keith Abney II,arizona state,CB,52,
Harold Perkins,lsu,LB,53,7
DJ McKinney,colorado,CB,54,8
Zachariah Branch,georgia,WR,55,1
Drew Shelton,penn state,OT,56,
Domonique Orange,iowa state,DL,57,95
Kamari Ramsey,usc,S,58,7
Domani Jackson,alabama,CB,59,1
Jalon Kilgore,south carolina,S,60,24
Kevin Concepcion,texas a&m,WR,61,7
R Mason Thomas,oklahoma,EDGE,62,32
Chris Bell,louisville,WR,63,0
Anthony Lucas,usc,EDGE,64,6
Will Lee III,texas a&m,CB,65,4
Fa'alili Fa'amoe,wake forest,OT,66,79
Malik Muhammad,texas,CB,67,5
Genesis Smith,arizona,S,68,
Joshua Josephs,tennessee,EDGE,69,19
Zxavian Harris,mississippi,DL,70,
Austin Barber,florida,OT,71,58
Max Klare,ohio state,TE,72,86
Mateen Ibirogba,wake forest,DL,73,99
Aidan Chiles,michigan state,QB,74,2
Kayden McDonald,ohio state,DL,75,98
Parker Brailsford,alabama,IOL,76,72
Daylen Everette,georgia,CB,77,6
Jake Slaughter,florida,IOL,78,66
Eric Singleton Jr.,auburn,WR,79,
Carson Beck,miami (fl),QB,80,11
Gabe Jacas,illinois,EDGE,81,17
Darrell Jackson Jr.,florida state,DL,82,6
Xavier Scott,illinois,S,83,14
Dontay Corleone,cincinnati,DL,84,
Olaivavega Ioane,penn state,IOL,85,
Jack Endries,texas,TE,86,88
Tyreak Sapp,florida,EDGE,87,94
Anto Saka,northwestern,EDGE,88,4
Keon Sabb,alabama,S,89,3
Duce Robinson,florida state,WR,90,0
Whit Weeks,lsu,LB,91,40
Cayden Green,missouri,OT,92,70
Justice Haynes,michigan,RB,93,22
Jonah Coleman,washington,RB,94,1
Chase Bisontis,texas a&m,IOL,95,71
Emmanuel Pregnon,oregon,IOL,96,
Deontae Lawson,alabama,LB,97,0
Chandler Rivers,duke,CB,98,0
Vincent Anthony Jr.,duke,EDGE,99,7
Zane Durant,penn state,DL,100,
Amare Ferrell,indiana,S,101,1
Aaron Anderson,lsu,WR,102,1
Daniel Harris,georgia,CB,103,7
Iapani Laloulu,oregon,IOL,104,
Davison Igbinosun,ohio state,CB,105,1
Antonio Kite,mississippi,CB,106,
Jaishawn Barham,michigan,LB,107,1
Elijah Pritchett,nebraska,OT,108,
Deion Burks,oklahoma,WR,109,4
Oscar Delp,georgia,TE,110,4
Zion Young,missouri,EDGE,111,9
Germie Bernard,alabama,WR,112,5
DeMonte Capehart,clemson,DL,113,19
Chris Brazzell,tennessee,WR,114,17
Jermaine Mathews Jr.,ohio state,CB,115,7
Lance Heard,tennessee,OT,116,53
Malachi Fields,notre dame,WR,117,0
Elijah Sarratt,indiana,WR,118,13
Josh Hoover,tcu,QB,119,10
Kade Pieper,iowa,IOL,120,
Kaytron Allen,penn state,RB,121,
Eli Stowers,vanderbilt,TE,122,9
C.J. Fite,arizona state,DL,123,
Nic Anderson,lsu,WR,124,4
Robert Henry Jr.,utsa,RB,125,
Caleb Tiernan,northwestern,OT,126,72
Michael Taaffe,texas,S,127,16
Tacario Davis,washington,CB,128,8
Aaron Graves,iowa,DL,129,
Tristan Leigh,clemson,OT,130,71
Keylan Rutledge,georgia tech,IOL,131,
Quintrevion Wisner,texas,RB,132,5
Ar'maj Reed-Adams,texas a&m,IOL,133,55
Jaeden Roberts,alabama,IOL,134,77
Dariel Djabome,rutgers,LB,135,8
C.J. Baxter,texas,RB,136,4
Jacob Rodriguez,texas tech,LB,137,
Earl Little Jr.,florida state,S,138,0
Lander Barton,utah,LB,139,8
Lawson Luckie,georgia,TE,140,7
Le'Veon Moss,texas a&m,RB,141,8
Josh Cameron,baylor,WR,142,34
Sam Leavitt,arizona state,QB,143,
LJ Martin,byu,RB,144,
Marlin Klein,michigan,TE,145,17
Jude Bowry,boston college,OT,146,71
Febechi Nwaiwu,oklahoma,IOL,147,54
Akheem Mesidor,miami (fl),EDGE,148,3
Kadin Lynch,william & mary,IOL,149,
A.J. Haulcy,lsu,S,150,13
Hezekiah Masses,california,CB,151,5
Tim Keenan III,alabama,DL,152,96
Drew Azzopardi,washington,OT,153,74
Trey Zuhn III,texas a&m,OT,154,60
Blake Miller,clemson,OT,155,78
Darian Mensah,duke,QB,156,10
D'angelo Ponds,indiana,CB,157,5
Anthony Smith,minnesota,DL,158,0
Nico Iamaleava,ucla,QB,159,9
Noah Thomas,georgia,WR,160,5
Kobe Baynes,kansas,IOL,161,70
Jamarion Miller,alabama,RB,162,26
Christian Gray,notre dame,CB,163,6
Patrick Payton,lsu,EDGE,164,6
Max Iheanachor,arizona state,OT,165,
Tao Johnson,utah,S,166,5
Derrick Moore,michigan,EDGE,167,8
Judge Collier,south carolina,CB,168,8
Barika Kpeenu,north dakota state,RB,169,
Zakee Wheatley,penn state,S,170,
Mikail Kamara,indiana,EDGE,171,6
Aamil Wagner,notre dame,OT,172,59
Gracen Halton,oklahoma,DL,173,56
Makhi Hughes,oregon,RB,174,
Jaydn Ott,oklahoma,RB,175,0
Bryce Foster,kansas,IOL,176,61
Dalton Brooks,texas a&m,S,177,25
Logan Jones,iowa,IOL,178,
Rayshaun Benny,michigan,DL,179,26
Xavier Nwankpa,iowa,S,180,
Bryce Lance,north dakota state,WR,181,
Sawyer Robertson,baylor,QB,182,13
Taurean York,texas a&m,LB,183,21
Boubacar Traore,notre dame,DL,184,5
Jack Velling,michigan state,TE,185,12
Joe Royer,cincinnati,TE,186,
Emmanuel McNeil-Warren,toledo,S,187,
Raylen Wilson,georgia,LB,188,5
Trey Moore,texas,EDGE,189,8
Darius Taylor,minnesota,RB,190,1
Jyaire Hill,michigan,CB,191,20
Kage Casey,boise state,OT,192,77
Chase Roberts,byu,WR,193,
Riley Mahlman,wisconsin,OT,194,71
Charles Jagusah,notre dame,IOL,195,56
Kenyatta Jackson,ohio state,EDGE,196,97
C.J. Daniels,miami (fl),WR,197,7
John Michael Gyllenborg,wyoming,TE,198,
Austin Romaine,kansas state,LB,199,45
Trebor Pena,penn state,WR,200,
Jaheim Oatis,colorado,DL,201,96
D.J. Campbell,texas,IOL,202,52
Matthew Bailey,illinois,S,203,7
Tanner Koziol,houston,TE,204,9
Rod Moore,michigan,S,205,19
Kyle Louis,pittsburgh,LB,206,9
Earnest Greene,georgia,OT,207,71
Theo Melin Ohrstrom,texas a&m,TE,208,17
Brett Norfleet,missouri,TE,209,87
Amare Campbell,penn state,LB,210,
Roman Hemby,indiana,RB,211,1
Miller Moss,louisville,QB,212,7
Drayk Bowen,notre dame,LB,213,34
Bud Clark,tcu,S,214,21
Ryan Baer,pittsburgh,IOL,215,70
Tanner Arkin,illinois,TE,216,85
Max Llewellyn,iowa,EDGE,217,
Fisher Camac,virginia,EDGE,218,14
Sheridan Wilson,texas tech,IOL,219,
Davaughn Patterson,wake forest,S,220,5
Bryson Washington,baylor,RB,221,7
Jadarian Price,notre dame,RB,222,24
J.Michael Sturdivant,florida,WR,223,9
Kanye Udoh,arizona state,RB,224,
Aiden Fisher,indiana,LB,225,4
Keanu Tanuvasa,byu,DL,226,
Michael Harris,maryland,LB,227,31
Roy Williams,northern illinois,EDGE,228,
Caden Barnett,wyoming,OT,229,
Eli Holstein,pittsburgh,QB,230,10
Bray Hubbard,alabama,S,231,18
Datrell Jones,boston college,RB,232,26
Tomas Rimac,virginia tech,IOL,233,
Chris McClellan,missouri,DL,234,7
Cameron Calhoun,alabama,CB,235,9
Zeke Berry,michigan,S,236,10
Marvin Jones Jr.,oklahoma,EDGE,237,97
Michael Trigg,baylor,TE,238,1
James Smith,alabama,DL,239,23
Jalen Walthall,incarnate word,WR,240,
Shamar Easter,north carolina,TE,241,84
Adonijah Green,louisville,DL,242,
Martel Hight,vanderbilt,CB,243,4
Roderick Kearney,florida,OT,244,71
Avery Johnson,kansas state,QB,245,2
Kelby Collins,alabama,DL,246,17
Izavion Miller,auburn,OT,247,
Markis Deal,tcu,DL,248,95
Jake Golday,cincinnati,LB,249,
Tyreek Chappell,texas a&m,CB,250,7
Fernando Carmona,arkansas,IOL,251,
Caden Curry,ohio state,EDGE,252,92
Demond Claiborne,wake forest,RB,253,1
R.J. Maryland,smu,TE,254,82
Ashton Stamps,lsu,CB,255,1
KP Price,boston college,S,256,2
Omar Aigbedion,baylor,IOL,257,68
Benji Gosnell,virginia tech,TE,258,
Eric Rivers,georgia tech,WR,259,
Jeremiah Wright,auburn,IOL,260,
Nicolas Radicic,indiana,K,261,15
Brett Thorson,georgia,P,262,92
Eugene Wilson III,florida,WR,263,3
Eric McAlister,tcu,WR,264,1
Lee Hunter,texas tech,DL,265,
Cole Rhett,toledo,OT,266,
Barion Brown,lsu,WR,267,6
Cruce Brookins,pittsburgh,S,268,12
Devean Deal,tcu,EDGE,269,11
Evan Stewart,oregon,WR,270,
Max Tomzcak,youngstown state,WR,271,
Nate Johnson,missouri,EDGE,272,90
Caleb Douglas,texas tech,WR,273,
Damon Wilson Jr.,missouri,EDGE,274,8
